Model,Broad.phase.of.flight,Weather.Condition,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Year
108-3,Cruise,UNK,2.0,0.0,0.0,0.0,1948
PA24-180,Unknown,UNK,4.0,0.0,0.0,0.0,1962
172M,Cruise,IMC,3.0,0.0,0.0,0.0,1974
112,Cruise,IMC,2.0,0.0,0.0,0.0,1977
501,Approach,VMC,1.0,2.0,0.0,0.0,1979
DC9,Climb,VMC,0.0,0.0,1.0,44.0,1979
180,Unknown,IMC,4.0,0.0,0.0,0.0,1981
140,Takeoff,VMC,0.0,0.0,0.0,2.0,1982
401B,Landing,IMC,0.0,0.0,0.0,2.0,1982
NAVION L-17B,Cruise,IMC,0.0,0.0,3.0,0.0,1982
PA-28-161,Approach,VMC,0.0,0.0,0.0,1.0,1982
V35B,Landing,VMC,0.0,0.0,0.0,1.0,1982
17-30A,Cruise,IMC,0.0,0.0,1.0,0.0,1982
R172K,Takeoff,IMC,1.0,0.0,0.0,0.0,1982
A,Cruise,IMC,1.0,0.0,0.0,0.0,1982
19,Cruise,IMC,2.0,0.0,0.0,0.0,1982
280C,Taxi,IMC,0.0,0.0,0.0,1.0,1982
180,Unknown,VMC,3.0,0.0,0.0,0.0,1982
172,Taxi,VMC,0.0,0.0,0.0,1.0,1982
WCS-222 (BELL 47G),Cruise,VMC,0.0,0.0,0.0,2.0,1982
152,Takeoff,VMC,0.0,0.0,0.0,1.0,1982
150L,Approach,VMC,0.0,0.0,0.0,2.0,1982
206L-1,Approach,VMC,0.0,0.0,0.0,1.0,1982
PA-24-180,Approach,VMC,0.0,0.0,0.0,1.0,1982
AA-5B,Descent,IMC,2.0,1.0,0.0,0.0,1982
414A,Approach,IMC,8.0,0.0,0.0,0.0,1982
BE-58,Approach,IMC,1.0,0.0,0.0,0.0,1982
M-5-235C,Landing,VMC,0.0,0.0,0.0,2.0,1982
210L,Descent,VMC,0.0,0.0,1.0,1.0,1982
7GCBC,Maneuvering,VMC,0.0,0.0,2.0,0.0,1982
182,Approach,VMC,0.0,0.0,2.0,0.0,1982
AT-301,Takeoff,VMC,0.0,0.0,0.0,1.0,1982
PA-28-161,Cruise,VMC,4.0,0.0,0.0,0.0,1982
PA-34-200T,Cruise,VMC,2.0,0.0,0.0,0.0,1982
T337G,Cruise,IMC,2.0,2.0,0.0,0.0,1982
PA-28R-200,Cruise,VMC,0.0,0.0,2.0,0.0,1982
206,Taxi,VMC,1.0,0.0,1.0,0.0,1982
A,Cruise,IMC,3.0,0.0,0.0,0.0,1982
PA-22,Cruise,IMC,1.0,0.0,0.0,0.0,1982
PA-31,Approach,VMC,2.0,0.0,0.0,0.0,1982
114,Cruise,VMC,0.0,0.0,0.0,1.0,1982
PA-24-250,Descent,VMC,0.0,1.0,0.0,1.0,1982
PA-28R-200,Cruise,VMC,0.0,0.0,0.0,1.0,1982
TR182,Taxi,VMC,0.0,0.0,0.0,1.0,1982
A185F,Takeoff,VMC,0.0,2.0,0.0,0.0,1982
340,Approach,VMC,0.0,0.0,0.0,3.0,1982
SA-316B,Taxi,VMC,0.0,0.0,0.0,6.0,1982
35,Climb,VMC,0.0,0.0,0.0,3.0,1982
152,Approach,VMC,0.0,0.0,0.0,2.0,1982
M-20J,Takeoff,VMC,0.0,0.0,0.0,2.0,1982
A75,Cruise,IMC,0.0,1.0,0.0,1.0,1982
210,Cruise,VMC,2.0,0.0,0.0,0.0,1982
V35,Approach,VMC,0.0,0.0,0.0,1.0,1982
C46,Standing,VMC,0.0,0.0,0.0,3.0,1982
172M,Approach,IMC,1.0,0.0,0.0,0.0,1982
PA-28-140,Approach,VMC,1.0,1.0,0.0,0.0,1982
TU206G,Landing,VMC,0.0,0.0,0.0,1.0,1982
152,Cruise,VMC,0.0,0.0,0.0,1.0,1982
PA-24-250,Landing,VMC,0.0,0.0,0.0,2.0,1982
152,Takeoff,VMC,0.0,0.0,0.0,1.0,1982
172N,Landing,VMC,0.0,0.0,0.0,2.0,1982
152,Landing,VMC,0.0,0.0,0.0,1.0,1982
ASW 20,Landing,VMC,0.0,0.0,0.0,1.0,1982
P210N,Landing,VMC,0.0,1.0,0.0,3.0,1982
172,Approach,VMC,0.0,0.0,0.0,2.0,1982
PA-34,Taxi,VMC,0.0,0.0,0.0,3.0,1982
305 (L-19),Landing,VMC,0.0,0.0,0.0,2.0,1982
182A,Approach,VMC,0.0,0.0,0.0,1.0,1982
PA-23-250,Approach,UNK,0.0,2.0,0.0,0.0,1982
172N,Landing,VMC,0.0,0.0,0.0,4.0,1982
23-250,Takeoff,IMC,0.0,0.0,0.0,2.0,1982
M20G,Cruise,VMC,1.0,1.0,0.0,0.0,1982
TU206F,Landing,VMC,0.0,0.0,4.0,0.0,1982
1,Takeoff,VMC,0.0,0.0,0.0,1.0,1982
U206,Cruise,VMC,0.0,0.0,3.0,0.0,1982
PA-28-140,Cruise,VMC,0.0,1.0,1.0,0.0,1982
210N,Takeoff,IMC,4.0,1.0,1.0,0.0,1982
180,Takeoff,VMC,0.0,0.0,0.0,1.0,1982
310L,Landing,VMC,0.0,0.0,0.0,1.0,1982
L-1011,Cruise,UNK,0.0,0.0,0.0,149.0,1982
EMB-110P1,Taxi,VMC,0.0,0.0,0.0,2.0,1982
414,Descent,UNK,0.0,0.0,3.0,0.0,1982
P35,Descent,IMC,0.0,1.0,0.0,1.0,1982
AA5B,Descent,VMC,0.0,0.0,0.0,1.0,1982
737-222,Takeoff,IMC,78.0,6.0,3.0,0.0,1982
PA-28R-201T,Cruise,VMC,0.0,0.0,0.0,3.0,1982
A23-24,Takeoff,VMC,0.0,0.0,0.0,4.0,1982
PA-31-350,Approach,IMC,0.0,0.0,0.0,2.0,1982
T210N,Climb,VMC,3.0,0.0,0.0,0.0,1982
310,Approach,VMC,0.0,0.0,0.0,2.0,1982
172,Landing,VMC,0.0,0.0,0.0,2.0,1982
269C,Taxi,VMC,0.0,0.0,0.0,1.0,1982
140,Takeoff,VMC,0.0,0.0,0.0,1.0,1982
SA 226-TC,Takeoff,VMC,0.0,1.0,2.0,12.0,1982
C-45H,Landing,VMC,0.0,0.0,0.0,2.0,1982
DHC-2-MK3,Landing,VMC,0.0,0.0,0.0,4.0,1982
206L-1,Cruise,IMC,1.0,2.0,0.0,0.0,1982
150M,Go-around,VMC,0.0,0.0,0.0,1.0,1982
150M,Takeoff,IMC,1.0,0.0,0.0,0.0,1982
BD-5B,Maneuvering,VMC,1.0,0.0,0.0,0.0,1982
182P,Other,VMC,0.0,0.0,1.0,0.0,1982
440,Takeoff,VMC,0.0,0.0,2.0,1.0,1982
PA-31,Approach,VMC,1.0,0.0,0.0,0.0,1982
PA-31T,Maneuvering,VMC,0.0,0.0,3.0,0.0,1982
F50,Takeoff,VMC,2.0,0.0,0.0,0.0,1982
150,Takeoff,VMC,0.0,0.0,1.0,1.0,1982
180E,Maneuvering,VMC,0.0,0.0,0.0,1.0,1982
170B,Landing,VMC,0.0,0.0,0.0,2.0,1982
206B,Maneuvering,VMC,0.0,0.0,0.0,2.0,1982
C23,Descent,VMC,0.0,2.0,2.0,0.0,1982
172M,Cruise,IMC,1.0,0.0,0.0,0.0,1982
PA-28-180,Cruise,IMC,3.0,0.0,0.0,0.0,1982
180K,Takeoff,VMC,0.0,0.0,0.0,1.0,1982
210L,Approach,IMC,4.0,0.0,0.0,0.0,1982
M20F,Takeoff,VMC,1.0,0.0,0.0,0.0,1982
G35,Maneuvering,IMC,2.0,0.0,0.0,0.0,1982
177B,Cruise,UNK,1.0,2.0,0.0,0.0,1982
AA5A,Approach,IMC,3.0,0.0,0.0,0.0,1982
SA226-T(B),Approach,IMC,3.0,0.0,0.0,0.0,1982
DHC-6-300,Descent,IMC,0.0,0.0,0.0,1.0,1982
AEROSTAR 601P,Takeoff,VMC,0.0,0.0,0.0,2.0,1982
152,Cruise,VMC,0.0,0.0,0.0,1.0,1982
182P,Cruise,VMC,0.0,0.0,1.0,1.0,1982
177RG,Climb,VMC,0.0,0.0,0.0,2.0,1982
QUICK SILVER,Climb,VMC,0.0,0.0,1.0,0.0,1982
182E,Landing,VMC,0.0,0.0,0.0,1.0,1982
150H,Approach,VMC,0.0,0.0,0.0,1.0,1982
340A,Cruise,UNK,0.0,0.0,0.0,2.0,1982
PA-38-112,Takeoff,VMC,0.0,0.0,0.0,2.0,1982
CL-44D4,Landing,VMC,0.0,0.0,0.0,6.0,1982
PA-32,Takeoff,VMC,0.0,0.0,0.0,2.0,1982
PA-31-350,Takeoff,VMC,0.0,0.0,0.0,2.0,1982
58,Cruise,IMC,2.0,0.0,0.0,0.0,1982
182N,Descent,IMC,3.0,0.0,0.0,0.0,1982
PA-23-250,Approach,IMC,1.0,0.0,0.0,0.0,1982
210,Approach,VMC,1.0,0.0,0.0,1.0,1982
152,Landing,VMC,0.0,0.0,0.0,1.0,1982
269C,Landing,VMC,0.0,0.0,0.0,2.0,1982
P210N,Cruise,IMC,4.0,0.0,0.0,0.0,1982
402A,Approach,IMC,1.0,0.0,0.0,0.0,1982
DC-3,Takeoff,VMC,0.0,0.0,2.0,0.0,1982
PA-23-250,Maneuvering,IMC,0.0,1.0,2.0,0.0,1982
PA-28-235,Cruise,IMC,1.0,0.0,0.0,0.0,1982
AA-1,Takeoff,IMC,1.0,0.0,0.0,0.0,1982
PA-32,Approach,VMC,0.0,1.0,3.0,0.0,1982
207,Landing,VMC,0.0,0.0,1.0,0.0,1982
M-20,Takeoff,VMC,0.0,0.0,0.0,4.0,1982
301,Takeoff,VMC,0.0,0.0,0.0,1.0,1982
II,Unknown,VMC,2.0,0.0,0.0,0.0,1982
FALCON 20,Descent,VMC,0.0,0.0,0.0,2.0,1982
172M,Landing,VMC,0.0,0.0,0.0,2.0,1982
S-58J,Maneuvering,VMC,0.0,0.0,0.0,2.0,1982
172,Approach,IMC,1.0,1.0,0.0,0.0,1982
M20C,Unknown,VMC,2.0,0.0,4.0,0.0,1982
G-164A,Takeoff,VMC,0.0,0.0,0.0,1.0,1982
DC-10-30,Landing,IMC,2.0,4.0,24.0,182.0,1982
A23A,Cruise,IMC,1.0,0.0,0.0,0.0,1982
PA-32-300,Landing,VMC,0.0,0.0,0.0,1.0,1982
150M,Cruise,VMC,0.0,0.0,0.0,3.0,1982
PA-34-200T,Approach,VMC,0.0,0.0,0.0,3.0,1982
PA-28-235,Cruise,VMC,2.0,0.0,4.0,0.0,1982
150H,Landing,VMC,0.0,1.0,0.0,0.0,1982
206 L-1,Landing,VMC,0.0,0.0,0.0,2.0,1982
47G-2,Maneuvering,VMC,0.0,0.0,0.0,1.0,1982
PA-38-112,Go-around,VMC,0.0,0.0,1.0,1.0,1982
C-402B,Approach,VMC,7.0,0.0,0.0,0.0,1982
172,Approach,UNK,0.0,0.0,2.0,0.0,1982
172,Landing,VMC,0.0,0.0,0.0,4.0,1982
172RG,Standing,VMC,0.0,0.0,0.0,2.0,1982
177,Descent,VMC,0.0,0.0,0.0,1.0,1982
182M,Cruise,UNK,2.0,0.0,0.0,0.0,1982
152II,Descent,VMC,0.0,0.0,1.0,0.0,1982
A188B,Maneuvering,VMC,0.0,1.0,0.0,0.0,1982
PA-28-140,Landing,VMC,0.0,0.0,0.0,2.0,1982
172N,Taxi,VMC,0.0,0.0,0.0,3.0,1982
152,Landing,VMC,0.0,0.0,0.0,1.0,1982
7GCBC,Takeoff,VMC,0.0,0.0,0.0,1.0,1982
369D,Cruise,VMC,0.0,0.0,2.0,2.0,1982
UH1B,Maneuvering,VMC,1.0,0.0,0.0,0.0,1982
152,Landing,VMC,0.0,0.0,0.0,2.0,1982
152,Landing,VMC,0.0,0.0,0.0,1.0,1982
172N,Taxi,VMC,0.0,0.0,0.0,1.0,1982
7BCM,Landing,VMC,0.0,0.0,0.0,1.0,1982
PA-38-112,Approach,VMC,0.0,0.0,0.0,2.0,1982
28-151,Cruise,IMC,1.0,0.0,0.0,0.0,1982
340A,Takeoff,VMC,0.0,0.0,0.0,2.0,1982
172H,Approach,VMC,0.0,0.0,0.0,1.0,1982
M20C,Landing,VMC,0.0,0.0,0.0,1.0,1982
A185F,Takeoff,VMC,0.0,0.0,0.0,2.0,1982
PA-32-260,Approach,VMC,0.0,0.0,0.0,2.0,1982
172N,Cruise,IMC,1.0,0.0,0.0,0.0,1982
B200,Cruise,VMC,0.0,0.0,0.0,2.0,1982
150,Maneuvering,VMC,1.0,0.0,0.0,0.0,1982
172,Maneuvering,VMC,0.0,0.0,0.0,2.0,1982
PA-28R-201T,Landing,VMC,0.0,0.0,0.0,1.0,1982
M20J,Climb,VMC,0.0,0.0,0.0,4.0,1982
TR182,Takeoff,VMC,1.0,0.0,0.0,0.0,1982
7AC,Taxi,VMC,0.0,0.0,0.0,1.0,1982
177B,Cruise,VMC,0.0,0.0,0.0,2.0,1982
172,Landing,VMC,0.0,0.0,0.0,3.0,1982
140,Takeoff,VMC,0.0,0.0,0.0,2.0,1982
172,Landing,VMC,0.0,0.0,0.0,1.0,1982
182L,Landing,VMC,0.0,0.0,0.0,2.0,1982
172N,Landing,VMC,0.0,0.0,0.0,3.0,1982
172P,Landing,IMC,0.0,0.0,0.0,3.0,1982
PA-22,Takeoff,VMC,0.0,0.0,1.0,1.0,1982
150L,Approach,VMC,0.0,0.0,0.0,2.0,1982
36,Cruise,IMC,0.0,1.0,0.0,1.0,1982
152,Landing,VMC,0.0,0.0,1.0,0.0,1982
PA-28-161,Approach,VMC,0.0,0.0,0.0,2.0,1982
180K,Landing,VMC,0.0,0.0,0.0,3.0,1982
152,Takeoff,VMC,0.0,0.0,0.0,2.0,1982
152,Landing,VMC,0.0,0.0,0.0,1.0,1982
PA-22,Takeoff,VMC,0.0,0.0,0.0,2.0,1982
99,Approach,IMC,0.0,5.0,2.0,0.0,1982
172,Takeoff,VMC,0.0,1.0,1.0,0.0,1982
SA-360C,Cruise,VMC,0.0,1.0,0.0,0.0,1982
182,Maneuvering,IMC,2.0,0.0,0.0,0.0,1982
7ECA,Takeoff,VMC,0.0,0.0,0.0,1.0,1982
TR182,Landing,VMC,0.0,0.0,0.0,2.0,1982
P206,Landing,VMC,0.0,0.0,0.0,3.0,1982
1159,Landing,VMC,0.0,0.0,0.0,4.0,1982
PA-32,Cruise,IMC,0.0,1.0,0.0,0.0,1982
PA-23-250,Approach,IMC,1.0,0.0,0.0,0.0,1982
150G,Unknown,VMC,2.0,0.0,0.0,0.0,1982
U206G,Landing,VMC,0.0,0.0,0.0,1.0,1982
T210N,Landing,VMC,0.0,0.0,0.0,1.0,1982
BK-1,Landing,VMC,0.0,0.0,0.0,1.0,1982
M20J,Climb,VMC,1.0,0.0,0.0,0.0,1982
MU2B-40,Landing,IMC,0.0,0.0,6.0,0.0,1982
DC-10-10,Takeoff,IMC,0.0,1.0,0.0,154.0,1982
150J,Maneuvering,VMC,0.0,0.0,0.0,2.0,1982
F19,Landing,VMC,0.0,0.0,0.0,1.0,1982
206L-1,Cruise,VMC,0.0,0.0,0.0,1.0,1982
AEROSTAR 600,Approach,IMC,0.0,0.0,0.0,1.0,1982
R-22,Cruise,IMC,2.0,0.0,0.0,0.0,1982
7KCAB,Landing,VMC,0.0,0.0,0.0,1.0,1982
206L-1,Takeoff,VMC,0.0,0.0,0.0,1.0,1982
PA-28,Cruise,VMC,2.0,0.0,0.0,0.0,1982
PA-32R-300,Cruise,IMC,4.0,0.0,0.0,0.0,1982
PA-28-140,Takeoff,VMC,0.0,1.0,1.0,0.0,1982
T210L,Climb,VMC,0.0,1.0,0.0,0.0,1982
A75N1,Taxi,VMC,0.0,0.0,0.0,3.0,1982
PA-31,Unknown,IMC,0.0,2.0,0.0,0.0,1982
7KCAB,Standing,VMC,0.0,0.0,0.0,3.0,1982
BC12-D,Taxi,VMC,0.0,0.0,0.0,3.0,1982
PA-28-140,Landing,VMC,0.0,0.0,0.0,1.0,1982
S-55A,Landing,VMC,0.0,0.0,0.0,2.0,1982
180,Taxi,VMC,0.0,0.0,0.0,3.0,1982
152,Takeoff,VMC,0.0,0.0,0.0,2.0,1982
PA-28-181,Takeoff,VMC,0.0,0.0,0.0,3.0,1982
415-C,Approach,VMC,0.0,0.0,0.0,2.0,1982
182H,Landing,VMC,0.0,0.0,0.0,2.0,1982
150,Landing,VMC,0.0,0.0,2.0,0.0,1982
PA-24-180,Cruise,VMC,8.0,0.0,0.0,0.0,1982
182B,Cruise,VMC,8.0,0.0,0.0,0.0,1982
PA-28-140,Landing,VMC,0.0,4.0,0.0,0.0,1982
P210N,Cruise,IMC,4.0,0.0,0.0,0.0,1982
112TCA,Takeoff,VMC,0.0,1.0,0.0,0.0,1982
PA-28-180,Landing,VMC,0.0,0.0,0.0,1.0,1982
7KCAB,Landing,VMC,0.0,0.0,0.0,2.0,1982
172N,Landing,VMC,0.0,0.0,0.0,5.0,1982
152,Landing,VMC,0.0,0.0,0.0,1.0,1982
PA-38,Takeoff,VMC,0.0,0.0,0.0,1.0,1982
177RG,Taxi,VMC,0.0,0.0,0.0,2.0,1982
172,Landing,VMC,0.0,0.0,0.0,4.0,1982
